Code,Long Name,Currency Unit,Table Name,Household consumption price survey: Geographical coverage
MMR,Republic of the Union of Myanmar,MMK: Kyat,Myanmar,Urban and Rural
NAM,Republic of Namibia,NAD: Namibia Dollar,Namibia,Urban only
NRU,Republic of Nauru,AUD: Australian Dollar,Nauru,
NPL,Nepal,NPR: Nepalese Rupee,Nepal,Urban and Rural
NLD,Kingdom of the Netherlands,EUR: Euro,Netherlands,Urban only
NCL,New Caledonia,XPF: CFP Franc (2011-2016),New Caledonia,
NZL,New Zealand,NZD: New Zealand Dollar,New Zealand,Capital-city only
NIC,Republic of Nicaragua,NIO: Cordoba Oro,Nicaragua,Urban only
NER,Republic of Niger,XOF: CFA Franc BCEAO,Niger,Capital city only
NGA,Federal Republic of Nigeria,NGN: Naira,Nigeria,Urban and Rural
NIU,Niue,NZD: New Zealand Dollar,Niue,
MKD,Republic of North Macedonia,MKD: Denar,North Macedonia,Urban only
MNP,Commonwealth of the Northern Mariana Islands,USD: US Dollar (2011),Northern Mariana Islands,
NOR,Kingdom of Norway,NOK: Norwegian Krone,Norway,Urban only
OMN,Sultanate of Oman,OMR: Rial Omani,Oman,Urban only
PAK,Islamic Republic of Pakistan,PKR: Pakistan Rupee,Pakistan,Urban and Rural
PLW,Republic of Palau,USD: US Dollar,Palau,
PAN,Republic of Panama,PAB: Balboa,Panama,Urban only
PNG,The Independent State of Papua New Guinea,PGK: Kina,Papua New Guinea,
PRY,Republic of Paraguay,PYG: Guarani,Paraguay,Urban only
PER,Republic of Peru,PEN: Sol,Peru,Capital city only
PHL,Republic of the Philippines,PHP: Philippine Peso,Philippines,Urban and Rural
POL,Republic of Poland,PLN: Zloty,Poland,Capital-city only
PRT,Portuguese Republic,EUR: Euro,Portugal,Capital-city only
PRI,Puerto Rico,USD: US Dollar,Puerto Rico,
QAT,State of Qatar,QAR: Qatari Rial,Qatar,Urban only
ROU,Romania,RON: Romanian Leu,Romania,Capital-city only
RUS,Russian Federation,RUB: Russian Ruble,Russian Federation,Capital-city only
RWA,Republic of Rwanda,RWF: Rwanda Franc,Rwanda,Urban and Rural
WSM,Samoa,WST: Tala,Samoa,
SMR,Republic of San Marino,EUR: Euro,San Marino,
STP,Democratic Republic of São Tomé and Principe,STN: Dobra,São Tomé and Principe,Capital city only
SAU,Kingdom of Saudi Arabia,SAR: Saudi Riyal,Saudi Arabia,Urban only
SEN,Republic of Senegal,XOF: CFA Franc BCEAO,Senegal,Urban and Rural
SRB,Republic of Serbia,RSD: Serbian Dinar,Serbia,Urban only
SYC,Republic of Seychelles,SCR: Seychelles Rupee,Seychelles,Capital city only
SLE,Republic of Sierra Leone,SLL: Leone,Sierra Leone,Urban only
SGP,Republic of Singapore,SGD: Singapore Dollar,Singapore,Urban only
SXM,Sint Maarten (Dutch part),ANG: Netherlands Antillean Guilder,Sint Maarten (Dutch part),Urban only
SVK,Slovak Republic,EUR: Euro,Slovak Republic,Urban only
SVN,Republic of Slovenia,EUR: Euro,Slovenia,Urban only
SLB,Solomon Islands,SBD: Solomon Islands Dollar,Solomon Islands,
SOM,Somali Democratic Republic,SOS: Somali Shilling,Somalia,
ZAF,Republic of South Africa,ZAR: Rand,South Africa,Urban and Rural
SSD,Republic of South Sudan,SSP: South Sudanese Pound,South Sudan,
ESP,Kingdom of Spain,EUR: Euro,Spain,Capital-city only
LKA,Democratic Socialist Republic of Sri Lanka,LKR: Sri Lanka Rupee,Sri Lanka,Urban and Rural
KNA,St. Kitts and Nevis,XCD: East Caribbean Dollar,St. Kitts and Nevis,Capital city only
LCA,St. Lucia,XCD: East Caribbean Dollar,St. Lucia,Urban and Rural
VCT,St. Vincent and the Grenadines,XCD: East Caribbean Dollar,St. Vincent and the Grenadines,Urban and Rural
SDN,Republic of the Sudan,SDG: Sudanese Pound,Sudan,Urban and Rural
SUR,Republic of Suriname,SRD: Surinam Dollar,Suriname,Urban and Rural
SWE,Kingdom of Sweden,SEK: Swedish Krona,Sweden,Urban only
CHE,Switzerland,CHF: Swiss Franc,Switzerland,Capital-city only
