Code,Long Name,Currency Unit,Table Name,Household consumption price survey: Geographical coverage
AND,Principality of Andorra,EUR: Euro,Andorra,Capital city only
PRK,Democratic People's Republic of Korea,KPW: North Korean Won,North Korea,Capital city only
